id,type,cost,weather_dpendence,pet_friendly,time_open,time_close,movie_genre,music_genre,hike_difficulty,cusine_type
1,hike,0,TRUE,true,5:25 AM,9:49 AM,,,Easy,
2,hike,0,TRUE,false,11:34 AM,4:17 AM,,,Difficulty,
3,hike,0,TRUE,true,12:44 PM,9:59 PM,,,Easy,
4,hike,0,TRUE,true,2:27 PM,1:52 PM,,,Easy,
5,hike,0,TRUE,true,6:35 PM,3:56 AM,,,Easy,
6,hike,0,TRUE,false,11:47 PM,11:38 PM,,,Difficulty,
7,hike,0,TRUE,false,12:22 AM,9:47 PM,,,Difficulty,
8,hike,0,TRUE,false,6:14 PM,10:53 PM,,,Medium,
9,hike,0,TRUE,true,2:07 PM,4:47 AM,,,Medium,
10,hike,0,TRUE,false,4:01 PM,8:32 PM,,,Difficulty,
11,hike,0,TRUE,true,2:50 AM,7:36 AM,,,Difficulty,
12,hike,0,TRUE,true,9:27 AM,1:57 PM,,,Medium,
13,hike,0,TRUE,false,8:51 PM,7:33 AM,,,Medium,
14,hike,0,TRUE,true,6:25 AM,9:52 AM,,,Medium,
15,hike,0,TRUE,false,12:51 PM,5:58 AM,,,Medium,
16,hike,0,TRUE,true,6:57 PM,11:31 AM,,,Easy,
17,hike,0,TRUE,true,11:42 PM,10:09 AM,,,Medium,
18,hike,0,TRUE,true,2:27 PM,9:56 PM,,,Medium,
19,hike,0,TRUE,true,4:18 AM,4:16 PM,,,Medium,
20,hike,0,TRUE,true,7:32 PM,7:22 PM,,,Easy,
21,hike,0,TRUE,true,4:59 PM,10:48 AM,,,Medium,
22,hike,0,TRUE,true,10:34 AM,10:11 PM,,,Difficulty,
23,hike,0,TRUE,true,2:51 AM,8:21 AM,,,Medium,
24,hike,0,TRUE,false,9:21 AM,9:15 PM,,,Difficulty,
25,hike,0,TRUE,true,3:56 AM,3:44 AM,,,Difficulty,
26,hike,0,TRUE,true,10:35 AM,4:36 PM,,,Medium,
27,hike,0,TRUE,false,2:36 AM,2:25 PM,,,Difficulty,
28,hike,0,TRUE,true,12:50 PM,12:29 AM,,,Easy,
29,hike,0,TRUE,true,3:54 PM,12:03 AM,,,Easy,
30,hike,0,TRUE,true,6:42 PM,10:56 AM,,,Easy,
31,hike,0,TRUE,true,9:41 AM,7:55 PM,,,Easy,
32,hike,0,TRUE,true,5:53 PM,12:09 AM,,,Difficulty,
33,hike,0,TRUE,true,8:37 PM,3:23 PM,,,Difficulty,
34,hike,0,TRUE,true,11:40 AM,4:35 PM,,,Easy,
35,hike,0,TRUE,true,6:53 PM,12:20 PM,,,Difficulty,
36,hike,0,TRUE,true,8:25 PM,5:21 PM,,,Easy,
37,hike,0,TRUE,false,6:03 PM,9:48 PM,,,Medium,
38,hike,0,TRUE,true,9:26 AM,2:04 AM,,,Medium,
39,hike,0,TRUE,true,7:40 PM,2:36 AM,,,Easy,
40,hike,0,TRUE,true,7:57 AM,9:26 PM,,,Easy,
41,hike,0,TRUE,true,8:04 AM,6:12 AM,,,Medium,
42,hike,0,TRUE,true,9:47 PM,9:40 AM,,,Easy,
43,hike,0,TRUE,false,11:33 AM,5:33 AM,,,Difficulty,
44,hike,0,TRUE,true,2:23 AM,1:48 PM,,,Easy,
45,hike,0,TRUE,false,9:36 PM,5:21 AM,,,Easy,
46,hike,0,TRUE,true,4:17 AM,6:46 AM,,,Easy,
47,hike,0,TRUE,true,8:27 AM,10:49 AM,,,Easy,
48,hike,0,TRUE,true,8:23 AM,10:15 PM,,,Medium,
49,hike,0,TRUE,true,11:10 PM,6:02 PM,,,Easy,
50,hike,0,TRUE,false,4:46 PM,4:53 PM,,,Medium,
51,hike,0,TRUE,true,9:47 PM,1:51 PM,,,Difficulty,
