,id,type,cost,weather_dpendence,pet_friendly,time_open,time_close,movie_genre,music_genre,hike_difficulty,cusine_type
0,1,concert,49,False,True,12:19 PM,2:03 AM,,Pop,,
1,2,concert,51,False,True,6:18 PM,3:36 PM,,Rock,,
2,3,concert,29,False,True,5:28 AM,7:54 PM,,Rock,,
3,4,concert,51,True,True,11:55 AM,11:02 AM,,Rap,,
4,5,concert,36,False,False,4:46 PM,8:11 AM,,Rap,,
5,6,concert,61,False,False,1:57 PM,11:20 PM,,Rap,,
6,7,concert,47,True,False,8:45 PM,3:55 AM,,Pop,,
7,8,concert,45,True,False,6:08 PM,9:02 AM,,Alternative,,
8,9,concert,51,False,True,1:50 AM,8:11 AM,,Alternative,,
9,10,concert,68,True,True,4:09 PM,5:11 PM,,Pop,,
10,11,concert,63,True,True,8:45 PM,1:46 PM,,Rock,,
11,12,concert,51,False,True,1:09 AM,3:35 AM,,Alternative,,
12,13,concert,55,True,True,5:43 PM,6:53 PM,,Rock,,
13,14,concert,47,True,False,4:31 AM,10:03 AM,,Rap,,
14,15,concert,68,True,True,1:53 AM,11:45 AM,,Rap,,
15,16,concert,48,True,False,7:49 PM,4:32 PM,,Rock,,
16,17,concert,41,True,True,1:08 AM,1:42 AM,,Rock,,
17,18,concert,56,False,False,3:35 PM,12:46 AM,,Rap,,
18,19,concert,49,True,False,9:38 AM,5:35 PM,,Pop,,
19,20,concert,70,True,True,7:21 AM,3:15 AM,,Rap,,
20,21,concert,41,False,True,8:47 AM,9:47 AM,,Rap,,
21,22,concert,38,True,True,6:29 AM,7:58 PM,,Pop,,
22,23,concert,59,True,False,12:54 AM,3:45 PM,,Rap,,
23,24,concert,56,False,True,3:50 AM,3:42 AM,,Rap,,
24,25,concert,45,False,True,2:32 AM,10:53 PM,,Alternative,,
25,26,concert,39,True,False,3:31 PM,4:50 AM,,Pop,,
26,27,concert,62,True,False,2:55 PM,7:45 AM,,Rap,,
27,28,concert,54,False,True,5:44 AM,6:59 PM,,Rap,,
28,29,concert,70,True,False,12:25 AM,7:47 AM,,Pop,,
29,30,concert,71,True,False,11:56 AM,6:53 AM,,Rap,,
30,31,concert,61,False,False,11:32 PM,7:59 AM,,Rock,,
31,32,concert,51,True,False,9:13 PM,2:43 PM,,Rock,,
32,33,concert,52,True,False,2:20 AM,5:35 PM,,Pop,,
33,34,concert,59,True,True,7:16 AM,2:23 AM,,Rock,,
34,35,concert,68,False,False,3:11 PM,8:21 AM,,Rock,,
35,36,concert,70,True,False,12:30 PM,2:53 AM,,Alternative,,
36,37,concert,32,False,True,3:51 PM,6:16 AM,,Rock,,
37,38,concert,47,True,True,12:59 PM,9:21 PM,,Alternative,,
38,39,concert,36,False,False,11:13 AM,10:41 PM,,Pop,,
39,40,concert,42,True,False,4:54 AM,1:26 AM,,Alternative,,
40,41,concert,40,False,True,2:52 AM,1:28 AM,,Rap,,
41,42,concert,56,False,False,11:46 PM,4:53 AM,,Alternative,,
42,43,concert,59,True,True,6:20 PM,5:06 AM,,Pop,,
